model,epoch,learning_rate,epoch_seconds,train_pixel_accuracy,train_mean_class_accuracy,train_mIoU_all,train_mIoU_foreground,train_fwIoU,train_macro_precision,train_macro_recall,train_macro_specificity,train_macro_f1,train_macro_dice,train_loss,train_cross_entropy,train_dice_loss,val_pixel_accuracy,val_mean_class_accuracy,val_mIoU_all,val_mIoU_foreground,val_fwIoU,val_macro_precision,val_macro_recall,val_macro_specificity,val_macro_f1,val_macro_dice,val_loss,val_cross_entropy,val_dice_loss
BiSeNetV2,1,0.0003,90.412588776,0.8045887802586411,0.4825849897664802,0.3603073889556307,0.3212546864477465,0.7110726315968359,0.38987344049757994,0.45159478709383166,0.9830521239648916,0.4115448008817531,0.4115448008821871,0.8892478346824646,0.9546766877174377,0.6929612159729004,0.7992777099609375,0.5276326508246041,0.3759522189352787,0.33729982066983016,0.7060923971538098,0.4247467476798222,0.5006364252919392,0.9820655850753891,0.4356935055327005,0.43569350553308456,0.7805935144424438,0.8208073377609253,0.659952700138092
BiSeNetV2,2,0.0003,89.11328460599998,0.871666260581603,0.6373813033426152,0.4704545910763968,0.43694770407866396,0.8031917246193719,0.5144168119217999,0.6163967720750839,0.9890120319152018,0.5436007332957505,0.5436007332961857,0.5532243251800537,0.5518865585327148,0.5572376847267151,0.8915891520182292,0.6774303005750807,0.5100330594939481,0.4791300950504538,0.8282171435436182,0.5630356389491865,0.6591440461648519,0.990773623445147,0.5890744207927879,0.5890744207932264,0.4811294376850128,0.4594114422798157,0.5462837815284729
BiSeNetV2,3,0.0003,89.38154144500004,0.8870890340278068,0.700998962018311,0.5134283171459022,0.48277523328666466,0.8242110152198017,0.5488134474122414,0.6847200174987614,0.9903678189072345,0.5952351811726141,0.5952351811730523,0.4615132212638855,0.4495641887187958,0.49736011028289795,0.8853392944335937,0.7266259902303875,0.5229739906176312,0.4931197205521222,0.8300195293838425,0.5608515747209966,0.7122217519363394,0.9904730458597553,0.6032703262576153,0.6032703262580431,0.4464910924434662,0.4208155572414398,0.5235171914100647
BiSeNetV2,4,0.0003,89.96541047999995,0.8951421999463848,0.7281257628252195,0.5371070395144026,0.5080718270264658,0.8351635939943944,0.572312108664879,0.7138149600304379,0.9910723654596212,0.6212285004897263,0.6212285004901651,0.4159102439880371,0.4002280831336975,0.4629569351673126,0.8853167317708334,0.7255749746585232,0.5279554657058884,0.498444463598348,0.8215465135813764,0.5706388311993348,0.7117038701148509,0.9900862883703786,0.6156893027438787,0.6156893027443154,0.44172215461730957,0.41946640610694885,0.5084896683692932
BiSeNetV2,5,0.0003,89.16409434100001,0.9007607798312862,0.7461176231654494,0.5559287056152568,0.5281614565495176,0.8426065589162404,0.5920800301903836,0.7330355324152446,0.9915628807746831,0.6411101967174374,0.6411101967178771,0.38442954421043396,0.3667480945587158,0.43747445940971375,0.9028131306966146,0.7546131768066215,0.5600864287516,0.5323549868363625,0.846592202611772,0.5953023199291709,0.741886890026971,0.9918193911769353,0.6449123556575248,0.6449123556579633,0.38031965494155884,0.34808769822120667,0.4770156145095825
BiSeNetV2,6,0.0003,89.91054214099995,0.9052817128771342,0.7572177227186769,0.5680621161706026,0.5411157633677465,0.8489813796328747,0.6036312305365149,0.7449035450857678,0.9919583915436206,0.6528984567810914,0.6528984567815316,0.36106419563293457,0.34197965264320374,0.4183180034160614,0.907849589029948,0.7643062272525584,0.5711521431941567,0.5442003656624018,0.8534666593404429,0.6039677278780727,0.752270472592628,0.9922319444510953,0.6547361827005252,0.6547361827009636,0.3636860251426697,0.32888221740722656,0.46809762716293335
BiSeNetV2,7,0.0003,89.01776707699992,0.9079603579380083,0.7641871793821019,0.5760817349116297,0.5496354892145704,0.8527082031055687,0.6113177466923166,0.7522964121802009,0.9921927858162172,0.6607334445501264,0.6607334445505669,0.34571340680122375,0.3270673453807831,0.40165168046951294,0.9093843587239583,0.767901976369781,0.5780589725635257,0.5516393343849384,0.8561292147421491,0.6167991995220173,0.7561743773576867,0.9923663867908027,0.6618374217171572,0.6618374217175947,0.3404318392276764,0.3131973445415497,0.42213553190231323
BiSeNetV2,8,0.0003,90.8154072530001,0.9104931333273277,0.7726211282476717,0.5849693497711651,0.55916621433221,0.8563924917193259,0.6196318381442055,0.7613750679004544,0.9924080800022518,0.6692521564888289,0.6692521564892694,0.3275710940361023,0.3123074769973755,0.3733619451522827,0.9153526611328126,0.7762121001952212,0.5893916403902533,0.5634657919930153,0.8645554367753293,0.6246918976530812,0.7645875339373674,0.9929312929757884,0.6719382229548071,0.6719382229552462,0.32189759612083435,0.3012917935848236,0.38371527194976807
BiSeNetV2,9,0.0003,90.46516643699988,0.9126680139551826,0.7798708113317842,0.5924204262061676,0.567149200347701,0.8593310386448557,0.6260591191360085,0.7691337788863217,0.992603868384404,0.6764169636555694,0.6764169636560102,0.31308451294898987,0.2992210388183594,0.3546748459339142,0.9143873291015625,0.7839954811251153,0.5966451559225885,0.5716980868645501,0.8630627149644513,0.6301906208715168,0.7737660073653673,0.9927070534663814,0.678850760926608,0.6788507609270465,0.3124052882194519,0.2906741499900818,0.3775990307331085
BiSeNetV2,10,0.0003,90.40219865599988,0.9143628887101716,0.783704017661373,0.5971245020301562,0.5721586359421029,0.8618759161172391,0.6302368536998461,0.7732386987312972,0.9927415886306474,0.6805779926084501,0.6805779926088911,0.30485936999320984,0.2895083725452423,0.3509121239185333,0.9150117390950521,0.7673473225751558,0.5928955117460135,0.5676786792574774,0.8632530750176298,0.6394204663149615,0.7557947649166844,0.9927170877875483,0.6764606129201863,0.6764606129206273,0.3169997036457062,0.29709726572036743,0.37670689821243286
