folder,filename,mean_brightness,std_brightness,mean_red,mean_green,mean_blue
dataA,09_00_101.png,97.46346932870371,75.08732452550791,95.18127893518519,97.91554542824075,100.82468894675925
dataA,F6-81.png,122.30985966435185,63.81095330414141,117.2531105324074,123.81354890046296,127.7882667824074
dataA,F61-1.png,71.14431423611111,58.154105922709995,80.9226707175926,68.65078848379629,58.58043981481482
dataA,F3-1.png,83.90256076388889,64.58035989422395,77.74620225694444,85.37254050925925,92.32718460648148
dataA,07_00_051.png,78.10876012731481,49.320085627384884,72.5419921875,79.6611328125,84.80215567129629
dataA,F3-90.png,85.06503182870371,65.2698949158001,80.01316550925925,86.3017578125,91.77220775462963
dataA,F10-30.png,78.24048755787037,62.00960795331528,72.49670862268519,80.49710648148148,81.55154079861111
dataA,09_00_061.png,98.64612268518519,76.24160398531413,98.57284432870371,98.2439597800926,100.53819444444444
dataA,F66-91.png,104.4724754050926,58.80915100405694,106.65523726851852,105.83101851851852,91.65219907407408
dataA,02_02_180.png,88.13935908564815,60.699826165024795,83.9929832175926,90.12706163194444,88.59284577546296
dataA,F64-51.png,126.41500289351852,63.966645275358594,139.25828269675927,124.37836371527777,103.33239293981481
dataA,02_01_130.png,60.521339699074076,43.25788094608828,57.888346354166664,61.51866319444444,62.52347366898148
dataA,F10-80.png,83.46444589120371,63.97318724837409,77.73788339120371,85.37102141203704,88.52719907407408
dataA,F8-61.png,104.27090567129629,61.55876590143011,97.24717881944444,106.19379340277777,112.47923900462963
dataA,F7-90.png,141.98423032407408,70.7828959328551,152.38838252314815,140.50455729166666,122.23947482638889
dataA,F68-91.png,115.73593026620371,56.21265768813277,126.22399450231481,113.19231047453704,101.56300636574075
dataA,04_00_150.png,76.67353877314815,57.832958517539424,72.50336371527777,77.61487268518519,82.57002314814815
dataA,F68-11.png,112.55703848379629,57.57738918580764,123.60966435185185,109.77690972222223,98.0070167824074
dataA,F62-10.png,87.6494140625,64.57367836951376,86.04191984953704,87.99457465277777,90.44064670138889
dataA,05_00_091.png,76.06521267361111,51.067381356094366,70.07953559027777,77.9597800925926,82.13972077546296
dataA,09_00_241.png,83.60163483796296,75.15322898710617,81.72486255787037,83.79094328703704,87.22392216435185
dataA,03_00_120.png,86.8478370949074,58.32796814695076,96.0779441550926,84.36657262731481,75.41442418981481
dataA,06_00_101.png,64.44010416666667,49.18887313828351,60.516384548611114,65.81239149305556,67.85828993055556
dataA,09_00_131.png,95.60347945601852,77.81507413033538,93.15903501157408,96.07179542824075,99.21444589120371
dataA,03_01_050.png,52.80381944444444,57.87712913946003,49.43265335648148,55.03663917824074,50.094039351851855
dataA,03_01_171.png,95.77991174768519,65.32995617859977,91.91402633101852,97.56278935185185,96.73433883101852
dataA,02_02_001.png,78.70930989583333,61.225393277300384,73.97837094907408,80.22583912037037,83.10264756944444
dataA,F9-30.png,104.60101996527777,59.93609210151927,105.4572120949074,106.66254340277777,91.81174045138889
dataA,F69-100.png,79.66384548611111,55.6648044029337,85.48574942129629,79.69780815972223,64.2595847800926
dataA,F70-31.png,109.96498842592592,56.675011547523326,103.2781394675926,111.89706307870371,117.34544994212963
dataA,05_00_230.png,57.37934027777778,48.98319015829089,52.102792245370374,59.191189236111114,62.121744791666664
dataA,02_02_191.png,88.21448206018519,60.74721243026474,84.08463541666667,90.1863425925926,88.6736472800926
dataA,F10-10.png,74.9021629050926,61.19463328977459,69.43797019675925,77.03121383101852,78.15693721064815
dataA,08_00_241.png,108.63093171296296,60.58755048796668,101.65389901620371,110.69672309027777,116.06810619212963
dataA,06_00_100.png,65.29651331018519,49.89522267657342,61.35687934027778,66.67603443287037,68.75499131944444
dataA,03_00_240.png,102.70146122685185,55.2756239092718,111.87738715277777,100.54973234953704,89.64319299768519
dataA,F4-31.png,75.98817274305556,58.31783745460901,71.41417100694444,77.62232349537037,79.45797164351852
dataA,10_00_170.png,72.73111979166667,62.60191145657535,67.57602719907408,74.72439236111111,75.79665798611111
dataA,F69-10.png,95.19925491898148,63.02278443508981,102.34501591435185,94.13863570601852,81.89558015046296
dataA,02_01_041.png,49.055410879629626,43.41595568441285,45.87999131944444,50.38527199074074,50.7701099537037
dataA,05_00_140.png,74.78056278935185,52.55994692379685,68.58177806712963,76.60094762731481,81.83152488425925
dataA,02_01_230.png,66.8370949074074,53.565230127364096,60.843930844907405,68.63368055555556,73.45471643518519
dataA,05_00_060.png,77.28276909722223,50.937501885650214,70.94589120370371,79.17972366898148,84.17849392361111
dataA,F8-70.png,102.16901765046296,60.98140606668134,95.16106047453704,104.12348090277777,110.16330295138889
dataA,04_00_241.png,83.13498263888889,57.77502421640096,80.07078269675925,83.73050491898148,87.93692129629629
dataA,04_00_131.png,72.28964120370371,56.14342158589255,67.48654513888889,73.4552589699074,78.63226996527777
dataA,F7-20.png,151.4586226851852,66.78957167523488,162.76812065972223,149.4150390625,132.23828125
dataA,F1-10.png,110.96148003472223,53.500980263793416,112.38444010416667,112.60539641203704,98.73831741898148
