class_id,class_name,sampled_pixels,pixel_percentage,images_present,image_presence_percentage
0,Unlabelled,7713663,30.999481577932098,900,100.0
7,Road,4870603,19.573861078960906,900,100.0
10,Vehicle,4064456,16.334137088477366,900,100.0
9,Vegetation,2924270,11.751985275205762,900,100.0
1,Building,2343124,9.416489840534979,808,89.77777777777777
8,Sidewalk,2017555,8.108101048096708,900,100.0
3,Other,252462,1.0145881558641976,823,91.44444444444444
2,Fence,228371,0.9177718299897119,843,93.66666666666667
6,Road line,191155,0.7682090727880658,888,98.66666666666667
11,Wall,141147,0.5672381365740741,628,69.77777777777779
5,Pole,117050,0.4703976980452675,890,98.88888888888889
12,Traffic sign,18755,0.07537213863168725,690,76.66666666666667
4,Pedestrian,589,0.0023670588991769547,101,11.222222222222221
