folder,filename,image_path,mask_path,split
dataA,02_00_000.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraRGB/02_00_000.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraSeg/02_00_000.png,train
dataA,02_00_001.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraRGB/02_00_001.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraSeg/02_00_001.png,train
dataA,02_00_010.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraRGB/02_00_010.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraSeg/02_00_010.png,train
dataA,02_00_011.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraRGB/02_00_011.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraSeg/02_00_011.png,train
dataA,02_00_020.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraRGB/02_00_020.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraSeg/02_00_020.png,train
dataA,02_00_021.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraRGB/02_00_021.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraSeg/02_00_021.png,train
dataA,02_00_030.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraRGB/02_00_030.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraSeg/02_00_030.png,train
dataA,02_00_031.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraRGB/02_00_031.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraSeg/02_00_031.png,train
dataA,02_00_040.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraRGB/02_00_040.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraSeg/02_00_040.png,train
dataA,02_00_041.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraRGB/02_00_041.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraSeg/02_00_041.png,train
dataA,02_00_050.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraRGB/02_00_050.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraSeg/02_00_050.png,train
dataA,02_00_051.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraRGB/02_00_051.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraSeg/02_00_051.png,train
dataA,02_00_060.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraRGB/02_00_060.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraSeg/02_00_060.png,train
dataA,02_00_061.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraRGB/02_00_061.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraSeg/02_00_061.png,train
dataA,02_00_070.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraRGB/02_00_070.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraSeg/02_00_070.png,train
dataA,02_00_071.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraRGB/02_00_071.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraSeg/02_00_071.png,train
dataA,02_00_080.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraRGB/02_00_080.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraSeg/02_00_080.png,train
dataA,02_00_081.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraRGB/02_00_081.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraSeg/02_00_081.png,train
dataA,02_00_090.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraRGB/02_00_090.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraSeg/02_00_090.png,train
dataA,02_00_091.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraRGB/02_00_091.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraSeg/02_00_091.png,train
dataA,02_00_100.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraRGB/02_00_100.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraSeg/02_00_100.png,train
dataA,02_00_101.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraRGB/02_00_101.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraSeg/02_00_101.png,train
dataA,02_00_110.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraRGB/02_00_110.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraSeg/02_00_110.png,train
dataA,02_00_111.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraRGB/02_00_111.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraSeg/02_00_111.png,train
dataA,02_00_120.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraRGB/02_00_120.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraSeg/02_00_120.png,train
dataA,02_00_121.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraRGB/02_00_121.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraSeg/02_00_121.png,train
dataA,02_00_130.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraRGB/02_00_130.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraSeg/02_00_130.png,train
dataA,02_00_131.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraRGB/02_00_131.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraSeg/02_00_131.png,train
dataA,02_00_140.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraRGB/02_00_140.png,/kaggle/input/datasets/kumaresanmanickavelu/lyft-udacity-challenge/dataA/dataA/CameraSeg/02_00_140.png,train
